translation_X,tilt,aperture
position,position,position
80.0,-15.0,6.0
80.0,15.0,2.0
80.0,-15.0,2.0
70.0,-25.0,2.0
70.0,5.0,6.0
70.0,25.0,2.0
70.0,-5.0,6.0
70.0,-15.0,2.0
70.0,-5.0,2.0
80.0,-25.0,10.0
80.0,-5.0,2.0
80.0,25.0,10.0
70.0,5.0,10.0
70.0,-25.0,6.0
70.0,-5.0,10.0
70.0,5.0,2.0
70.0,15.0,6.0
80.0,-15.0,10.0
70.0,25.0,10.0
70.0,15.0,10.0
80.0,-25.0,2.0
80.0,5.0,2.0
80.0,15.0,10.0
70.0,15.0,2.0
70.0,-25.0,10.0
80.0,5.0,6.0
70.0,-15.0,10.0
80.0,15.0,6.0
80.0,-5.0,10.0
70.0,-15.0,6.0
80.0,25.0,2.0
80.0,25.0,6.0
80.0,-5.0,6.0
80.0,-25.0,6.0
80.0,5.0,10.0
70.0,25.0,6.0
