translation_X,tilt,aperture
position,position,position
70.0,10.0,9.0
50.0,10.0,3.0
50.0,-10.0,12.0
70.0,10.0,3.0
70.0,0.0,12.0
70.0,10.0,12.0
50.0,10.0,3.0
50.0,0.0,9.0
70.0,-10.0,0.0
70.0,0.0,0.0
70.0,0.0,12.0
50.0,0.0,9.0
70.0,0.0,0.0
70.0,10.0,12.0
70.0,10.0,6.0
50.0,10.0,9.0
50.0,0.0,3.0
50.0,-10.0,6.0
70.0,0.0,12.0
70.0,0.0,0.0
50.0,10.0,0.0
50.0,-10.0,3.0
50.0,10.0,12.0
50.0,10.0,0.0
70.0,0.0,0.0
70.0,10.0,9.0
70.0,0.0,12.0
70.0,-10.0,6.0
50.0,0.0,0.0
50.0,0.0,6.0
70.0,-10.0,12.0
50.0,0.0,3.0
70.0,10.0,3.0
50.0,10.0,12.0
50.0,-10.0,12.0
50.0,10.0,9.0
50.0,-10.0,12.0
50.0,0.0,6.0
70.0,-10.0,0.0
50.0,10.0,12.0
70.0,-10.0,9.0
50.0,-10.0,0.0
50.0,0.0,0.0
70.0,0.0,3.0
50.0,-10.0,0.0
70.0,-10.0,12.0
70.0,10.0,9.0
70.0,0.0,9.0
50.0,10.0,9.0
70.0,-10.0,12.0
50.0,0.0,12.0
50.0,0.0,9.0
70.0,0.0,0.0
50.0,-10.0,3.0
70.0,-10.0,9.0
70.0,10.0,3.0
70.0,0.0,6.0
70.0,-10.0,9.0
50.0,10.0,12.0
70.0,10.0,12.0
50.0,10.0,0.0
70.0,10.0,6.0
70.0,10.0,0.0
70.0,0.0,12.0
70.0,10.0,12.0
50.0,10.0,9.0
70.0,10.0,9.0
50.0,10.0,3.0
70.0,0.0,9.0
70.0,0.0,3.0
50.0,10.0,9.0
70.0,0.0,9.0
70.0,-10.0,12.0
50.0,0.0,3.0
70.0,0.0,3.0
70.0,10.0,6.0
70.0,10.0,9.0
50.0,0.0,9.0
70.0,0.0,6.0
50.0,-10.0,9.0
70.0,-10.0,6.0
70.0,-10.0,0.0
50.0,-10.0,0.0
50.0,-10.0,6.0
70.0,-10.0,6.0
70.0,-10.0,6.0
