X, Y, Z, Tilt, Pitch, Yaw, Success
0.245, 0.0, -0.1, 0, 0, 0, 1
0.245, 0.0, -0.095, 0, 0, 0, 1
0.245, 0.0, -0.09, 0, 0, 0, 0
0.245, 0.0, -0.085, 0, 0, 0, 0
0.245, 0.0, -0.08, 0, 0, 0, 0
0.245, 0.0, -0.075, 0, 0, 0, 0
0.245, 0.0, -0.07, 0, 0, 0, 0
0.245, 0.0, -0.065, 0, 0, 0, 0
0.245, 0.0, -0.06, 0, 0, 0, 0
0.245, 0.0, -0.055, 0, 0, 0, 0
0.245, 0.0, -0.05, 0, 0, 0, 0
0.245, 0.0, -0.045, 0, 0, 0, 0
0.245, 0.0, -0.04, 0, 0, 0, 0
0.245, 0.0, -0.035, 0, 0, 0, 0
0.245, 0.0, -0.03, 0, 0, 0, 0
0.245, 0.0, -0.025, 0, 0, 0, 0
0.245, 0.0, -0.02, 0, 0, 0, 0
0.245, 0.0, -0.015, 0, 0, 0, 0
0.245, 0.0, -0.01, 0, 0, 0, 0
0.245, 0.0, -0.005, 0, 0, 0, 0
0.245, 0.0, 0.0, 0, 0, 0, 0
0.245, 0.0, 0.005, 0, 0, 0, 0
0.245, 0.0, 0.01, 0, 0, 0, 0
0.245, 0.0, 0.015, 0, 0, 0, 0
0.245, 0.0, 0.02, 0, 0, 0, 0
0.245, 0.0, 0.025, 0, 0, 0, 0
0.245, 0.0, 0.03, 0, 0, 0, 0
0.245, 0.0, 0.035, 0, 0, 0, 0
0.245, 0.0, 0.04, 0, 0, 0, 0
0.245, 0.0, 0.045, 0, 0, 0, 0
0.245, 0.0, 0.05, 0, 0, 0, 0
0.245, 0.0, 0.055, 0, 0, 0, 0
0.245, 0.0, 0.06, 0, 0, 0, 0
0.245, 0.0, 0.065, 0, 0, 0, 0
0.245, 0.0, 0.07, 0, 0, 0, 0
0.245, 0.0, 0.075, 0, 0, 0, 0
0.245, 0.0, 0.08, 0, 0, 0, 0
0.245, 0.0, 0.085, 0, 0, 0, 0
0.245, 0.0, 0.09, 0, 0, 0, 0
0.245, 0.0, 0.095, 0, 0, 0, 0
0.245, 0.0, 0.1, 0, 0, 0, 0
0.245, 0.005, -0.1, 0, 0, 0, 1
0.245, 0.005, -0.095, 0, 0, 0, 1
0.245, 0.005, -0.09, 0, 0, 0, 1
0.245, 0.005, -0.085, 0, 0, 0, 0
0.245, 0.005, -0.08, 0, 0, 0, 0
0.245, 0.005, -0.075, 0, 0, 0, 0
0.245, 0.005, -0.07, 0, 0, 0, 0
0.245, 0.005, -0.065, 0, 0, 0, 0
0.245, 0.005, -0.06, 0, 0, 0, 0
0.245, 0.005, -0.055, 0, 0, 0, 0
0.245, 0.005, -0.05, 0, 0, 0, 0
0.245, 0.005, -0.045, 0, 0, 0, 0
0.245, 0.005, -0.04, 0, 0, 0, 0
0.245, 0.005, -0.035, 0, 0, 0, 0
0.245, 0.005, -0.03, 0, 0, 0, 0
0.245, 0.005, -0.025, 0, 0, 0, 0
0.245, 0.005, -0.02, 0, 0, 0, 0
0.245, 0.005, -0.015, 0, 0, 0, 0
0.245, 0.005, -0.01, 0, 0, 0, 0
0.245, 0.005, -0.005, 0, 0, 0, 0
0.245, 0.005, 0.0, 0, 0, 0, 0
0.245, 0.005, 0.005, 0, 0, 0, 0
0.245, 0.005, 0.01, 0, 0, 0, 0
0.245, 0.005, 0.015, 0, 0, 0, 0
0.245, 0.005, 0.02, 0, 0, 0, 0
0.245, 0.005, 0.025, 0, 0, 0, 0
0.245, 0.005, 0.03, 0, 0, 0, 0
