translation,translation,translation,aperture
position,speed,acceleration,position
1.0,2.0,2.0,5.342731560009563
1.0,2.0,2.0,3.3238506305686775
1.0,2.0,2.0,9.731339290308485
1.0,2.0,2.0,3.733257086110895
60.75,2.0,2.0,8.882101945879166
60.75,2.0,2.0,1.1250226093308735
60.75,2.0,2.0,2.342521479644465
60.75,2.0,2.0,6.040320427350924
120.5,2.0,2.0,3.483141550479724
120.5,2.0,2.0,3.854116781121654
120.5,2.0,2.0,2.656395086606244
120.5,2.0,2.0,3.5284042256330848
180.25,2.0,2.0,8.606071967584022
180.25,2.0,2.0,3.10587542756539
180.25,2.0,2.0,5.6980145073392325
180.25,2.0,2.0,5.2657828063865
240.0,2.0,2.0,4.5578192303537985
240.0,2.0,2.0,3.9400604118700358
240.0,2.0,2.0,2.8876778258413935
240.0,2.0,2.0,6.861584084483333
