translation_z,tilt,aperture
position,position,position
90.0,-30.0,15.0
60.0,-10.0,9.0
80.0,-30.0,15.0
80.0,0.0,9.0
70.0,-20.0,9.0
60.0,20.0,6.0
90.0,-10.0,3.0
80.0,-30.0,3.0
80.0,-30.0,9.0
70.0,0.0,3.0
90.0,-20.0,6.0
90.0,10.0,9.0
70.0,0.0,6.0
90.0,-30.0,3.0
70.0,-30.0,12.0
90.0,-30.0,12.0
70.0,0.0,0.0
70.0,20.0,3.0
90.0,0.0,6.0
70.0,-10.0,3.0
70.0,-20.0,6.0
60.0,-20.0,0.0
70.0,0.0,12.0
80.0,-30.0,12.0
60.0,-20.0,12.0
80.0,-30.0,0.0
70.0,10.0,0.0
70.0,-20.0,15.0
60.0,-30.0,15.0
90.0,0.0,0.0
60.0,10.0,12.0
70.0,10.0,12.0
90.0,20.0,12.0
80.0,-20.0,0.0
60.0,-30.0,3.0
80.0,-20.0,9.0
90.0,-10.0,12.0
60.0,0.0,0.0
60.0,10.0,15.0
70.0,-30.0,3.0
70.0,-20.0,0.0
90.0,-10.0,0.0
70.0,-30.0,0.0
90.0,20.0,3.0
60.0,0.0,15.0
60.0,-10.0,3.0
90.0,10.0,12.0
80.0,10.0,9.0
70.0,10.0,9.0
80.0,0.0,3.0
80.0,-10.0,15.0
70.0,-20.0,3.0
60.0,-20.0,9.0
80.0,20.0,9.0
70.0,-10.0,0.0
90.0,-30.0,9.0
80.0,-20.0,6.0
90.0,-10.0,6.0
60.0,10.0,0.0
60.0,-20.0,3.0
80.0,-10.0,0.0
60.0,-20.0,15.0
70.0,-20.0,12.0
90.0,-30.0,0.0
70.0,10.0,3.0
70.0,0.0,15.0
60.0,-30.0,6.0
80.0,10.0,15.0
90.0,-20.0,3.0
80.0,0.0,6.0
90.0,-20.0,9.0
60.0,0.0,12.0
90.0,10.0,3.0
60.0,10.0,3.0
80.0,20.0,3.0
80.0,-10.0,9.0
80.0,10.0,0.0
60.0,-20.0,6.0
90.0,-20.0,12.0
90.0,20.0,6.0
80.0,-20.0,15.0
60.0,20.0,15.0
90.0,20.0,0.0
90.0,10.0,6.0
70.0,20.0,15.0
60.0,-30.0,9.0
90.0,10.0,15.0
80.0,-20.0,3.0
80.0,10.0,6.0
60.0,20.0,12.0
80.0,0.0,12.0
80.0,-30.0,6.0
80.0,-10.0,3.0
70.0,10.0,15.0
70.0,-10.0,15.0
60.0,0.0,9.0
70.0,0.0,9.0
80.0,20.0,6.0
60.0,-30.0,0.0
60.0,20.0,0.0
80.0,0.0,15.0
60.0,-10.0,6.0
60.0,-30.0,12.0
90.0,20.0,9.0
80.0,20.0,15.0
80.0,0.0,0.0
90.0,0.0,3.0
90.0,-30.0,6.0
80.0,10.0,3.0
90.0,0.0,15.0
80.0,10.0,12.0
80.0,-10.0,12.0
90.0,0.0,9.0
60.0,-10.0,15.0
70.0,20.0,12.0
80.0,20.0,0.0
70.0,-10.0,6.0
60.0,0.0,6.0
70.0,-10.0,9.0
70.0,-30.0,9.0
60.0,-10.0,12.0
70.0,20.0,0.0
60.0,20.0,3.0
90.0,-20.0,15.0
70.0,-30.0,15.0
90.0,20.0,15.0
90.0,-20.0,0.0
60.0,20.0,9.0
60.0,10.0,6.0
90.0,-10.0,15.0
90.0,10.0,0.0
60.0,10.0,9.0
70.0,20.0,6.0
80.0,20.0,12.0
70.0,-30.0,6.0
80.0,-20.0,12.0
80.0,-10.0,6.0
90.0,-10.0,9.0
90.0,0.0,12.0
60.0,0.0,3.0
60.0,-10.0,0.0
70.0,20.0,9.0
70.0,10.0,6.0
70.0,-10.0,12.0
