translation_X,tilt,aperture,total_force
position,position,position,position
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
90.0,0.0,0.0,2.0
90.0,0.0,0.0,4.0
