translation_X,tilt,aperture,total_force,total_force_rel_min_bound,total_force_rel_max_bound
position,position,position,position,position,position
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
90.0,0.0,0.0,1.0,0.25,10.0
