translation_X,tilt,aperture,total_force,total_force_2,total_force_3,total_force_rel_min_bound,total_force_rel_max_bound
position,position,position,position,position,position,position,position
90.0,0.0,0.0,2.0,3.0,2.0,-0.25,100.0
90.0,0.0,0.0,2.0,1.0,3.0,-0.25,100.0
90.0,0.0,0.0,1.0,3.0,1.0,-0.25,100.0
90.0,0.0,0.0,1.0,2.0,1.0,-0.25,100.0
90.0,0.0,0.0,3.0,3.0,1.0,-0.25,100.0
90.0,0.0,0.0,2.0,1.0,2.0,-0.25,100.0
90.0,0.0,0.0,3.0,2.0,3.0,-0.25,100.0
90.0,0.0,0.0,3.0,1.0,1.0,-0.25,100.0
90.0,0.0,0.0,2.0,3.0,3.0,-0.25,100.0
90.0,0.0,0.0,2.0,2.0,2.0,-0.25,100.0
90.0,0.0,0.0,2.0,1.0,1.0,-0.25,100.0
90.0,0.0,0.0,1.0,3.0,2.0,-0.25,100.0
90.0,0.0,0.0,3.0,3.0,2.0,-0.25,100.0
90.0,0.0,0.0,3.0,2.0,1.0,-0.25,100.0
90.0,0.0,0.0,2.0,2.0,3.0,-0.25,100.0
90.0,0.0,0.0,1.0,1.0,3.0,-0.25,100.0
90.0,0.0,0.0,3.0,2.0,2.0,-0.25,100.0
90.0,0.0,0.0,1.0,3.0,3.0,-0.25,100.0
90.0,0.0,0.0,1.0,1.0,1.0,-0.25,100.0
90.0,0.0,0.0,2.0,2.0,1.0,-0.25,100.0
90.0,0.0,0.0,3.0,3.0,3.0,-0.25,100.0
90.0,0.0,0.0,3.0,1.0,3.0,-0.25,100.0
90.0,0.0,0.0,1.0,2.0,2.0,-0.25,100.0
90.0,0.0,0.0,1.0,2.0,3.0,-0.25,100.0
90.0,0.0,0.0,2.0,3.0,1.0,-0.25,100.0
90.0,0.0,0.0,1.0,1.0,2.0,-0.25,100.0
90.0,0.0,0.0,3.0,1.0,2.0,-0.25,100.0
