translation_X,tilt,aperture
position,position,position
70.0,-30.0,10.0
60.0,15.0,0.0
85.0,-30.0,10.0
80.0,0.0,5.0
70.0,0.0,0.0
70.0,-30.0,0.0
80.0,-30.0,10.0
70.0,30.0,10.0
90.0,30.0,0.0
80.0,30.0,10.0
60.0,15.0,5.0
85.0,-30.0,5.0
85.0,15.0,5.0
70.0,0.0,10.0
70.0,15.0,10.0
85.0,-30.0,0.0
80.0,15.0,5.0
90.0,-15.0,5.0
85.0,0.0,0.0
60.0,30.0,5.0
90.0,15.0,0.0
75.0,-30.0,0.0
65.0,-30.0,5.0
70.0,-15.0,5.0
85.0,30.0,0.0
85.0,0.0,0.0
65.0,-15.0,5.0
75.0,30.0,5.0
75.0,-15.0,5.0
80.0,-15.0,5.0
85.0,-15.0,10.0
65.0,30.0,10.0
90.0,-15.0,0.0
60.0,15.0,10.0
80.0,15.0,10.0
65.0,-15.0,5.0
65.0,-15.0,10.0
70.0,0.0,5.0
75.0,15.0,10.0
85.0,-15.0,5.0
90.0,30.0,10.0
75.0,-15.0,0.0
70.0,-30.0,5.0
75.0,15.0,5.0
60.0,30.0,5.0
90.0,30.0,5.0
80.0,15.0,5.0
65.0,0.0,0.0
80.0,30.0,0.0
80.0,0.0,5.0
90.0,30.0,0.0
75.0,0.0,10.0
80.0,-15.0,5.0
75.0,-15.0,10.0
90.0,-15.0,10.0
70.0,-15.0,10.0
65.0,-15.0,10.0
60.0,-15.0,0.0
75.0,30.0,0.0
60.0,0.0,0.0
85.0,15.0,0.0
85.0,30.0,5.0
90.0,15.0,10.0
70.0,30.0,5.0
80.0,15.0,0.0
60.0,0.0,10.0
70.0,0.0,5.0
60.0,-30.0,10.0
85.0,-30.0,10.0
75.0,30.0,0.0
80.0,-30.0,0.0
70.0,15.0,10.0
90.0,-15.0,5.0
60.0,0.0,5.0
60.0,-15.0,5.0
80.0,0.0,0.0
60.0,0.0,10.0
60.0,0.0,0.0
60.0,30.0,10.0
85.0,0.0,5.0
90.0,0.0,10.0
85.0,-15.0,10.0
85.0,-15.0,0.0
65.0,0.0,5.0
75.0,0.0,0.0
65.0,-15.0,0.0
85.0,15.0,10.0
80.0,15.0,10.0
70.0,-15.0,10.0
60.0,-30.0,0.0
65.0,-30.0,0.0
75.0,30.0,5.0
70.0,30.0,10.0
75.0,15.0,5.0
65.0,0.0,10.0
70.0,-30.0,5.0
90.0,-30.0,10.0
70.0,15.0,0.0
80.0,-30.0,10.0
80.0,-15.0,10.0
65.0,15.0,10.0
65.0,-30.0,0.0
60.0,-15.0,10.0
90.0,-30.0,0.0
70.0,-15.0,0.0
70.0,-30.0,0.0
60.0,-30.0,0.0
85.0,-30.0,0.0
70.0,15.0,5.0
60.0,0.0,5.0
60.0,-30.0,5.0
80.0,-30.0,5.0
60.0,15.0,10.0
65.0,0.0,5.0
60.0,15.0,0.0
65.0,0.0,10.0
60.0,-15.0,0.0
75.0,0.0,5.0
90.0,15.0,0.0
60.0,-15.0,10.0
85.0,0.0,10.0
90.0,0.0,10.0
80.0,0.0,10.0
70.0,30.0,0.0
80.0,-15.0,10.0
65.0,0.0,0.0
75.0,-15.0,10.0
80.0,15.0,0.0
90.0,30.0,10.0
70.0,-30.0,10.0
80.0,-30.0,0.0
85.0,30.0,10.0
60.0,-30.0,10.0
90.0,-15.0,10.0
65.0,15.0,5.0
60.0,30.0,0.0
65.0,30.0,5.0
70.0,30.0,5.0
75.0,15.0,0.0
75.0,-30.0,0.0
85.0,-15.0,5.0
90.0,0.0,5.0
65.0,-15.0,0.0
75.0,-15.0,0.0
70.0,-15.0,5.0
80.0,30.0,10.0
85.0,30.0,10.0
75.0,-15.0,5.0
70.0,15.0,5.0
75.0,-30.0,10.0
65.0,15.0,5.0
85.0,0.0,10.0
85.0,0.0,5.0
80.0,-30.0,5.0
90.0,-30.0,5.0
85.0,-15.0,0.0
70.0,15.0,0.0
65.0,15.0,0.0
90.0,15.0,5.0
75.0,0.0,10.0
60.0,30.0,0.0
75.0,-30.0,5.0
90.0,0.0,0.0
80.0,30.0,5.0
60.0,-30.0,5.0
75.0,-30.0,5.0
75.0,30.0,10.0
80.0,-15.0,0.0
75.0,15.0,10.0
75.0,0.0,5.0
75.0,0.0,0.0
80.0,0.0,0.0
85.0,15.0,0.0
85.0,15.0,5.0
90.0,-30.0,0.0
90.0,-30.0,5.0
65.0,15.0,0.0
90.0,15.0,10.0
90.0,30.0,5.0
75.0,30.0,10.0
70.0,0.0,10.0
80.0,30.0,5.0
80.0,-15.0,0.0
75.0,15.0,0.0
65.0,-30.0,5.0
65.0,30.0,10.0
85.0,-30.0,5.0
90.0,-30.0,10.0
65.0,-30.0,10.0
65.0,30.0,0.0
60.0,30.0,10.0
80.0,30.0,0.0
85.0,30.0,5.0
90.0,0.0,5.0
70.0,-15.0,0.0
90.0,15.0,5.0
65.0,-30.0,10.0
70.0,30.0,0.0
75.0,-30.0,10.0
65.0,30.0,0.0
60.0,15.0,5.0
65.0,15.0,10.0
70.0,0.0,0.0
80.0,0.0,10.0
60.0,-15.0,5.0
85.0,15.0,10.0
65.0,30.0,5.0
90.0,-15.0,0.0
90.0,0.0,0.0
85.0,30.0,0.0
