translation_X,tilt,aperture
position,position,position
90.0,10.0,4.0
60.0,-30.0,8.0
90.0,20.0,4.0
90.0,20.0,4.0
90.0,-20.0,4.0
60.0,10.0,8.0
60.0,10.0,4.0
60.0,20.0,0.0
60.0,30.0,0.0
90.0,-20.0,8.0
60.0,30.0,8.0
90.0,0.0,4.0
90.0,-30.0,0.0
60.0,0.0,4.0
90.0,-10.0,0.0
60.0,-30.0,0.0
60.0,20.0,8.0
90.0,20.0,8.0
90.0,-30.0,8.0
60.0,-20.0,8.0
90.0,-10.0,8.0
90.0,10.0,8.0
90.0,30.0,4.0
90.0,30.0,4.0
60.0,0.0,4.0
60.0,10.0,0.0
60.0,-30.0,8.0
60.0,-20.0,8.0
90.0,-20.0,8.0
60.0,0.0,4.0
90.0,-20.0,4.0
60.0,-20.0,4.0
60.0,30.0,8.0
60.0,-10.0,8.0
60.0,30.0,0.0
90.0,0.0,8.0
90.0,-30.0,0.0
60.0,-30.0,4.0
90.0,10.0,8.0
90.0,30.0,0.0
60.0,-10.0,4.0
60.0,10.0,0.0
90.0,-10.0,8.0
60.0,-30.0,4.0
90.0,20.0,4.0
60.0,30.0,0.0
90.0,-30.0,4.0
60.0,30.0,8.0
90.0,-30.0,0.0
90.0,-10.0,4.0
60.0,0.0,0.0
60.0,-20.0,8.0
90.0,-10.0,0.0
90.0,0.0,8.0
90.0,30.0,8.0
90.0,20.0,0.0
90.0,30.0,0.0
90.0,-10.0,4.0
90.0,0.0,4.0
60.0,10.0,0.0
90.0,-30.0,4.0
90.0,-30.0,8.0
90.0,-30.0,0.0
90.0,-20.0,0.0
90.0,30.0,8.0
60.0,0.0,0.0
60.0,-10.0,0.0
60.0,0.0,0.0
90.0,10.0,4.0
60.0,-20.0,0.0
90.0,10.0,0.0
90.0,10.0,8.0
90.0,-10.0,8.0
90.0,-20.0,0.0
90.0,10.0,0.0
60.0,0.0,8.0
60.0,20.0,0.0
90.0,10.0,4.0
60.0,10.0,4.0
60.0,20.0,0.0
90.0,10.0,8.0
60.0,-20.0,0.0
60.0,-30.0,8.0
90.0,0.0,8.0
60.0,-10.0,0.0
60.0,20.0,4.0
60.0,0.0,4.0
60.0,-20.0,0.0
90.0,0.0,4.0
90.0,-20.0,8.0
60.0,-10.0,4.0
60.0,0.0,8.0
60.0,-10.0,4.0
90.0,-30.0,4.0
90.0,-10.0,8.0
60.0,20.0,4.0
90.0,10.0,0.0
60.0,10.0,8.0
60.0,-20.0,0.0
60.0,10.0,8.0
90.0,-20.0,4.0
60.0,20.0,4.0
60.0,20.0,8.0
60.0,-20.0,0.0
60.0,-10.0,8.0
60.0,-10.0,4.0
60.0,0.0,0.0
60.0,10.0,4.0
60.0,30.0,4.0
90.0,20.0,8.0
60.0,30.0,4.0
90.0,0.0,4.0
90.0,0.0,0.0
60.0,-30.0,8.0
90.0,-10.0,8.0
60.0,-30.0,0.0
90.0,0.0,0.0
60.0,20.0,8.0
90.0,20.0,0.0
60.0,20.0,0.0
90.0,-10.0,0.0
90.0,10.0,4.0
60.0,-20.0,4.0
60.0,10.0,4.0
60.0,10.0,0.0
90.0,-10.0,4.0
90.0,-20.0,0.0
60.0,20.0,4.0
90.0,30.0,4.0
90.0,-10.0,4.0
90.0,20.0,0.0
60.0,30.0,4.0
90.0,30.0,0.0
90.0,30.0,8.0
60.0,30.0,8.0
90.0,30.0,4.0
60.0,20.0,8.0
90.0,-30.0,4.0
90.0,30.0,0.0
60.0,30.0,0.0
90.0,-20.0,0.0
90.0,10.0,0.0
60.0,-20.0,8.0
90.0,-10.0,0.0
90.0,0.0,0.0
90.0,10.0,8.0
60.0,30.0,0.0
90.0,-30.0,8.0
60.0,-20.0,4.0
60.0,30.0,8.0
60.0,-10.0,0.0
60.0,0.0,8.0
60.0,30.0,4.0
90.0,20.0,8.0
60.0,-30.0,4.0
90.0,-20.0,8.0
60.0,-10.0,8.0
60.0,20.0,0.0
60.0,-20.0,8.0
90.0,-10.0,4.0
60.0,20.0,4.0
90.0,-10.0,0.0
60.0,-10.0,0.0
90.0,-30.0,8.0
90.0,20.0,8.0
60.0,20.0,8.0
90.0,-30.0,4.0
60.0,-30.0,0.0
90.0,30.0,8.0
60.0,-10.0,0.0
90.0,0.0,0.0
90.0,-20.0,8.0
60.0,-10.0,4.0
90.0,0.0,8.0
60.0,0.0,8.0
60.0,10.0,0.0
60.0,-30.0,8.0
60.0,0.0,4.0
60.0,0.0,0.0
90.0,0.0,4.0
60.0,-30.0,0.0
90.0,0.0,8.0
90.0,-30.0,8.0
60.0,30.0,4.0
90.0,10.0,0.0
90.0,20.0,8.0
90.0,30.0,0.0
60.0,-20.0,4.0
90.0,-20.0,0.0
60.0,0.0,8.0
60.0,-10.0,8.0
60.0,-30.0,4.0
90.0,0.0,0.0
90.0,10.0,4.0
60.0,-30.0,0.0
90.0,20.0,4.0
90.0,-20.0,4.0
90.0,20.0,0.0
90.0,30.0,4.0
60.0,10.0,4.0
90.0,-30.0,0.0
60.0,-30.0,4.0
60.0,-20.0,4.0
60.0,-10.0,8.0
60.0,10.0,8.0
60.0,10.0,8.0
90.0,30.0,8.0
90.0,-20.0,4.0
90.0,20.0,4.0
90.0,20.0,0.0
