translation_X,tilt,aperture
position,position,position
70.0,0.0,2.0
80.0,-10.0,4.0
80.0,10.0,2.0
80.0,-10.0,2.0
80.0,-5.0,0.0
70.0,10.0,2.0
80.0,10.0,4.0
70.0,10.0,6.0
70.0,0.0,2.0
70.0,10.0,6.0
70.0,5.0,2.0
80.0,-5.0,4.0
70.0,-5.0,2.0
80.0,-5.0,0.0
70.0,0.0,4.0
70.0,-10.0,6.0
70.0,-10.0,4.0
80.0,10.0,2.0
70.0,-5.0,2.0
70.0,-10.0,2.0
70.0,0.0,2.0
80.0,-5.0,0.0
70.0,5.0,2.0
70.0,-10.0,0.0
80.0,10.0,6.0
80.0,5.0,4.0
70.0,-5.0,0.0
70.0,5.0,2.0
80.0,-5.0,2.0
70.0,-10.0,2.0
70.0,0.0,6.0
80.0,10.0,2.0
80.0,-10.0,6.0
80.0,-10.0,6.0
70.0,-10.0,0.0
80.0,10.0,0.0
80.0,0.0,4.0
70.0,0.0,6.0
80.0,-5.0,0.0
70.0,5.0,6.0
70.0,0.0,0.0
70.0,5.0,2.0
80.0,5.0,4.0
70.0,10.0,4.0
70.0,-5.0,4.0
80.0,10.0,2.0
80.0,-10.0,4.0
70.0,0.0,0.0
70.0,5.0,4.0
80.0,0.0,6.0
80.0,10.0,0.0
80.0,10.0,6.0
70.0,-10.0,2.0
80.0,0.0,4.0
80.0,5.0,6.0
80.0,5.0,0.0
70.0,0.0,4.0
70.0,-5.0,2.0
70.0,10.0,0.0
80.0,5.0,2.0
70.0,5.0,0.0
70.0,0.0,6.0
70.0,0.0,4.0
70.0,0.0,4.0
80.0,10.0,4.0
80.0,5.0,4.0
70.0,0.0,0.0
80.0,-5.0,4.0
80.0,5.0,0.0
70.0,10.0,6.0
70.0,-10.0,4.0
80.0,-5.0,2.0
70.0,10.0,2.0
80.0,-10.0,6.0
80.0,10.0,2.0
70.0,0.0,2.0
80.0,5.0,2.0
70.0,0.0,6.0
80.0,-10.0,0.0
70.0,0.0,4.0
70.0,5.0,0.0
70.0,5.0,6.0
80.0,0.0,4.0
70.0,-10.0,4.0
80.0,-5.0,4.0
80.0,-5.0,6.0
70.0,-5.0,0.0
80.0,-5.0,2.0
80.0,5.0,0.0
70.0,-5.0,4.0
70.0,10.0,0.0
70.0,0.0,0.0
70.0,5.0,2.0
80.0,0.0,2.0
70.0,0.0,6.0
80.0,5.0,2.0
70.0,-10.0,0.0
70.0,-5.0,4.0
80.0,10.0,0.0
70.0,10.0,4.0
80.0,-5.0,2.0
80.0,-5.0,6.0
70.0,5.0,4.0
80.0,10.0,6.0
80.0,-5.0,4.0
70.0,-10.0,6.0
80.0,-5.0,2.0
70.0,5.0,4.0
80.0,-5.0,0.0
70.0,5.0,0.0
80.0,-5.0,4.0
80.0,-5.0,6.0
80.0,5.0,6.0
80.0,10.0,6.0
80.0,5.0,6.0
80.0,0.0,0.0
80.0,0.0,4.0
80.0,10.0,4.0
70.0,-5.0,6.0
70.0,0.0,2.0
80.0,5.0,4.0
70.0,10.0,0.0
80.0,5.0,2.0
70.0,-5.0,4.0
70.0,10.0,0.0
80.0,-5.0,0.0
80.0,-10.0,4.0
80.0,10.0,0.0
80.0,5.0,4.0
80.0,10.0,6.0
80.0,-10.0,4.0
70.0,0.0,2.0
70.0,5.0,4.0
70.0,-5.0,6.0
70.0,-5.0,4.0
80.0,10.0,4.0
80.0,10.0,4.0
80.0,0.0,2.0
70.0,5.0,4.0
80.0,10.0,4.0
70.0,5.0,2.0
70.0,0.0,0.0
70.0,10.0,0.0
70.0,-5.0,6.0
80.0,-10.0,6.0
70.0,-5.0,6.0
80.0,0.0,0.0
70.0,0.0,6.0
80.0,5.0,2.0
80.0,5.0,4.0
70.0,-5.0,6.0
80.0,-10.0,0.0
80.0,-10.0,2.0
70.0,10.0,2.0
70.0,5.0,4.0
70.0,-5.0,4.0
80.0,5.0,0.0
80.0,10.0,6.0
80.0,5.0,6.0
80.0,-5.0,4.0
80.0,-10.0,2.0
80.0,-5.0,2.0
70.0,-10.0,6.0
70.0,10.0,4.0
70.0,-5.0,0.0
70.0,5.0,4.0
70.0,-10.0,0.0
70.0,10.0,6.0
80.0,-10.0,2.0
70.0,5.0,0.0
70.0,5.0,2.0
80.0,0.0,4.0
70.0,10.0,4.0
70.0,10.0,4.0
70.0,5.0,2.0
70.0,5.0,4.0
70.0,10.0,2.0
70.0,-5.0,0.0
70.0,10.0,4.0
80.0,0.0,6.0
80.0,-10.0,0.0
70.0,5.0,0.0
80.0,5.0,2.0
80.0,-10.0,4.0
80.0,10.0,2.0
70.0,5.0,0.0
70.0,10.0,4.0
70.0,5.0,6.0
70.0,0.0,0.0
70.0,-5.0,2.0
70.0,-10.0,4.0
70.0,-5.0,2.0
70.0,0.0,2.0
80.0,0.0,0.0
80.0,10.0,0.0
80.0,-10.0,6.0
80.0,10.0,4.0
70.0,10.0,4.0
70.0,-5.0,4.0
70.0,5.0,0.0
80.0,5.0,4.0
80.0,10.0,6.0
80.0,5.0,6.0
70.0,-5.0,4.0
80.0,10.0,4.0
70.0,-10.0,2.0
70.0,0.0,0.0
80.0,-10.0,2.0
80.0,-5.0,6.0
80.0,0.0,0.0
70.0,5.0,2.0
80.0,-5.0,0.0
80.0,-10.0,4.0
80.0,-5.0,6.0
80.0,0.0,0.0
70.0,5.0,0.0
80.0,0.0,4.0
70.0,10.0,6.0
80.0,-5.0,4.0
80.0,-5.0,4.0
80.0,0.0,6.0
70.0,10.0,2.0
80.0,-10.0,2.0
80.0,0.0,0.0
70.0,-10.0,0.0
80.0,10.0,0.0
80.0,10.0,2.0
70.0,10.0,0.0
70.0,-5.0,2.0
80.0,0.0,0.0
80.0,-5.0,6.0
70.0,10.0,6.0
80.0,-10.0,0.0
70.0,10.0,0.0
80.0,-10.0,0.0
70.0,-5.0,0.0
70.0,5.0,6.0
70.0,-5.0,6.0
80.0,10.0,4.0
70.0,-5.0,2.0
70.0,-10.0,6.0
80.0,-10.0,6.0
80.0,10.0,4.0
80.0,5.0,2.0
80.0,10.0,2.0
80.0,5.0,0.0
80.0,0.0,4.0
80.0,10.0,2.0
80.0,-10.0,0.0
70.0,-10.0,2.0
70.0,5.0,2.0
70.0,-10.0,2.0
80.0,-5.0,2.0
80.0,-5.0,4.0
70.0,10.0,2.0
70.0,-5.0,6.0
80.0,0.0,2.0
80.0,0.0,6.0
80.0,-5.0,2.0
80.0,5.0,6.0
80.0,0.0,2.0
70.0,-5.0,6.0
80.0,5.0,2.0
80.0,-10.0,6.0
80.0,10.0,0.0
70.0,10.0,0.0
80.0,0.0,2.0
70.0,0.0,2.0
70.0,10.0,4.0
70.0,5.0,6.0
80.0,0.0,2.0
70.0,-10.0,6.0
80.0,-10.0,2.0
70.0,-5.0,0.0
80.0,10.0,0.0
70.0,-5.0,6.0
70.0,10.0,4.0
80.0,-5.0,4.0
80.0,-5.0,6.0
80.0,0.0,6.0
70.0,-10.0,4.0
70.0,5.0,6.0
80.0,5.0,2.0
70.0,5.0,4.0
80.0,-5.0,2.0
70.0,-5.0,6.0
70.0,5.0,6.0
80.0,0.0,4.0
80.0,0.0,2.0
80.0,10.0,4.0
80.0,0.0,0.0
80.0,5.0,4.0
70.0,5.0,0.0
80.0,-5.0,4.0
80.0,-10.0,4.0
70.0,-5.0,0.0
80.0,0.0,0.0
70.0,-5.0,2.0
70.0,0.0,0.0
80.0,-10.0,0.0
80.0,10.0,6.0
80.0,-10.0,4.0
80.0,-5.0,0.0
70.0,5.0,6.0
70.0,10.0,4.0
70.0,5.0,2.0
70.0,0.0,4.0
80.0,0.0,2.0
70.0,-10.0,6.0
80.0,10.0,2.0
80.0,-10.0,4.0
80.0,0.0,0.0
70.0,10.0,2.0
70.0,-10.0,0.0
70.0,-5.0,0.0
80.0,-10.0,0.0
70.0,0.0,2.0
70.0,10.0,2.0
70.0,-5.0,6.0
70.0,-5.0,2.0
70.0,10.0,6.0
70.0,10.0,2.0
70.0,5.0,0.0
80.0,0.0,2.0
70.0,-10.0,6.0
70.0,-5.0,2.0
80.0,-5.0,6.0
70.0,10.0,6.0
80.0,5.0,0.0
80.0,5.0,0.0
70.0,0.0,6.0
80.0,-10.0,2.0
80.0,5.0,6.0
70.0,-10.0,4.0
80.0,10.0,6.0
70.0,5.0,4.0
70.0,5.0,6.0
80.0,10.0,2.0
70.0,10.0,4.0
70.0,5.0,6.0
70.0,-10.0,2.0
80.0,-10.0,2.0
80.0,-5.0,6.0
70.0,-10.0,6.0
70.0,0.0,2.0
80.0,-5.0,0.0
80.0,-5.0,2.0
70.0,10.0,0.0
80.0,5.0,2.0
80.0,0.0,0.0
80.0,5.0,4.0
70.0,-10.0,2.0
70.0,0.0,4.0
70.0,10.0,0.0
80.0,5.0,0.0
70.0,0.0,6.0
70.0,-5.0,2.0
80.0,10.0,6.0
70.0,-10.0,4.0
80.0,0.0,6.0
70.0,-5.0,4.0
80.0,0.0,4.0
80.0,-5.0,0.0
70.0,-10.0,2.0
70.0,10.0,0.0
80.0,10.0,6.0
80.0,-10.0,6.0
70.0,0.0,4.0
80.0,0.0,4.0
70.0,-10.0,2.0
70.0,10.0,6.0
80.0,-10.0,6.0
80.0,-10.0,6.0
70.0,0.0,0.0
80.0,0.0,6.0
80.0,5.0,6.0
70.0,0.0,4.0
70.0,-10.0,4.0
80.0,10.0,0.0
70.0,0.0,4.0
80.0,-5.0,6.0
80.0,-10.0,2.0
80.0,-5.0,6.0
80.0,0.0,6.0
80.0,5.0,4.0
80.0,0.0,0.0
80.0,-10.0,0.0
80.0,0.0,6.0
70.0,-5.0,0.0
80.0,5.0,0.0
80.0,-10.0,0.0
70.0,-10.0,0.0
80.0,5.0,6.0
70.0,-10.0,0.0
70.0,5.0,4.0
70.0,5.0,2.0
70.0,5.0,0.0
70.0,-10.0,6.0
70.0,5.0,4.0
70.0,10.0,6.0
70.0,-10.0,4.0
70.0,-10.0,0.0
70.0,10.0,6.0
80.0,-10.0,0.0
70.0,-10.0,2.0
80.0,10.0,6.0
80.0,5.0,0.0
80.0,0.0,6.0
80.0,5.0,0.0
70.0,0.0,0.0
80.0,5.0,6.0
70.0,0.0,0.0
70.0,-5.0,6.0
70.0,0.0,6.0
70.0,-10.0,0.0
70.0,-5.0,0.0
70.0,-10.0,0.0
70.0,10.0,2.0
80.0,0.0,6.0
70.0,-5.0,4.0
80.0,-10.0,0.0
70.0,10.0,0.0
70.0,-5.0,4.0
70.0,5.0,6.0
70.0,5.0,0.0
80.0,5.0,0.0
80.0,-10.0,4.0
70.0,-5.0,2.0
80.0,-5.0,2.0
70.0,10.0,2.0
70.0,-10.0,4.0
80.0,10.0,2.0
80.0,5.0,4.0
70.0,-5.0,0.0
80.0,10.0,0.0
80.0,-10.0,2.0
80.0,-5.0,2.0
80.0,0.0,2.0
80.0,-10.0,4.0
80.0,-10.0,6.0
70.0,0.0,0.0
80.0,-10.0,2.0
70.0,-10.0,6.0
80.0,0.0,2.0
80.0,0.0,4.0
80.0,5.0,2.0
70.0,0.0,2.0
70.0,-10.0,4.0
70.0,0.0,4.0
70.0,0.0,2.0
80.0,10.0,4.0
70.0,-10.0,2.0
80.0,5.0,4.0
80.0,5.0,2.0
80.0,-5.0,6.0
80.0,0.0,6.0
70.0,5.0,6.0
80.0,0.0,4.0
80.0,10.0,0.0
70.0,-10.0,0.0
70.0,-5.0,0.0
70.0,0.0,6.0
70.0,0.0,4.0
70.0,0.0,6.0
70.0,-10.0,4.0
70.0,-10.0,6.0
70.0,10.0,6.0
80.0,-5.0,0.0
80.0,5.0,6.0
80.0,-5.0,0.0
70.0,-10.0,6.0
80.0,-10.0,6.0
80.0,5.0,6.0
80.0,0.0,2.0
70.0,10.0,2.0
80.0,10.0,0.0
70.0,-5.0,4.0
80.0,-10.0,4.0
70.0,0.0,6.0
80.0,-5.0,4.0
